,blcdb9-I,263d3f-I,c4155b-C
MINDY4,-4.34,-1.18,-1.15
MINK1,-0.67,0.31,0.05
MINOS1-NBL1,-1.2,1.25,0.26
MINPP1,1.1,0.86,1.06
MIOS,0.19,0.25,0.18
MIPEP,-0.36,-0.28,-0.24
MIPOL1,-2.12,-0.06,-0.57
MIS12,-0.25,-0.07,-0.05
MIS18A,0.35,-0.71,-0.6
MIS18BP1,-1.38,0.28,0.12
MISP,-0.95,0.47,-0.26
MITD1,1.51,0.57,1.02
MITF,-1.59,0.64,-0.12
MKI67,-1.22,-0.67,-0.63
MKL1,-0.79,0.08,0.03
MKL2,-0.59,0.12,-0.43
MKLN1,-0.03,0.32,0.05
MKNK1,-0.94,-0.5,-0.62
MKNK2,NA,NA,NA
MKRN1,-0.4,-0.02,0.16
MKRN2,-0.85,0.09,-0.14
MKS1,NA,NA,NA
MLEC,-0.25,-0.87,-0.71
MLF1,NA,NA,NA
MLF2,-0.39,-0.2,-0.24
MLH1,-0.23,0.14,-0.2
MLKL,-0.64,-0.24,-0.34
MLLT1,-1.91,-1.33,-1.15
MLLT10,NA,NA,NA
MLLT11,NA,NA,NA
MLLT3,0.76,0.76,0.8
MLLT6,NA,NA,NA
MLPH,-0.39,-0.25,-0.83
MLST8,-0.1,-0.02,0.24
MLX,1.37,0.98,1.09
MLXIP,0.64,0.3,0
MLYCD,-0.28,0.11,0.21
MMAA,0.55,-0.19,0.22
MMAB,0.93,0.59,0.94
MMACHC,NA,NA,NA
MMADHC,1.99,1.29,1.16
MME,-0.32,0.42,0.39
MMGT1,-1.35,-0.45,-0.82
MMP1,-1.44,-0.71,-0.33
MMP10,-2.08,-0.59,-0.35
MMP11,-1.31,-0.74,-0.64
MMP12,NA,NA,NA
MMP13,0.81,1.21,1.75
MMP14,0.38,0.27,0.18
MMP15,NA,NA,NA
MMP19,1.7,0.83,1.04
MMP2,0.12,0.94,1.15
MMP3,0.21,0.51,0.73
MMP7,-0.01,0.41,0.02
MMP8,0.25,0.45,0.84
MMP9,0.75,-0.24,0.24
MMRN1,1.48,2.42,2.58
MMRN2,0.42,0.68,1.14
MMS19,-0.38,-0.51,-0.35
MMS22L,NA,NA,NA
MNAT1,-1.02,-0.08,-0.82
MND1,NA,NA,NA
MNDA,-1.01,-0.56,-0.55
MNT,-0.64,0.02,-0.4
MNX1,NA,NA,NA
MOB1A,-1.63,-0.32,-0.78
MOB2,-0.24,0.74,0.2
MOB3A,0.37,-0.29,-0.19
MOB3B,-0.82,1.12,1.31
MOB3C,NA,NA,NA
MOB4,-0.51,0.18,-0.18
MOCOS,-0.95,0.24,-0.15
MOCS1,1.27,0.72,1.36
MOCS2,-0.29,0.09,0.06
MOCS3,0.45,0.21,0.23
MOGS,0.34,-0.17,-0.15
MON1A,NA,NA,NA
MON1B,0.69,0.19,0.17
MON2,0.08,-0.16,-0.37
MORC2,-0.67,-0.57,-0.47
MORC3,0.19,0.1,-0.09
MORC4,3.5,1.37,3.03
MORF4L1,0.69,0.32,0.04
MORF4L2,-1.4,0.04,-0.59
MOSPD2,0.73,-0.06,0.36
MOV10,-0.46,-0.16,-0.46
MOXD1,NA,NA,NA
MPC1,-1.51,-1.22,-0.53
MPC2,0.6,0.11,0.33
MPDU1,0.39,-0.51,-0.27
MPDZ,0.23,0.5,0.57
MPEG1,NA,NA,NA
MPG,0.27,-0.25,-0.45
MPHOSPH10,-0.49,-0.2,-0.22
MPHOSPH6,-0.56,0.3,0.03
MPHOSPH8,-0.54,0.36,-0.45
MPHOSPH9,NA,NA,NA
MPI,1.85,0.37,0.56
MPLKIP,-2.27,-0.91,-1.57
MPND,1.5,0.48,0.99
MPO,0.67,0.51,0.3
MPP1,2.37,1.18,2.23
MPP2,0.82,0.86,0.63
MPP4,NA,NA,NA
MPP5,0.53,0.42,0.27
MPP6,0.98,0.77,1.35
MPP7,0.84,0.18,0.4
MPPED2,1.9,1.75,2.45
MPRIP,-0.09,0.26,0.16
MPST,0.88,0.35,0.64
MPV17,0.22,0.17,0.26
MPZ,NA,NA,NA
MPZL1,-1.46,-0.24,-0.1
MPZL2,NA,NA,NA
MRAS,2.24,1.54,2.56
MRC1,0.5,0.97,1.69
MRC2,-0.37,-0.01,0.27
MRE11,0.16,-0.12,-0.35
MREG,NA,NA,NA
MRFAP1,0.83,0.16,0.03
MRGBP,-1.35,-0.8,-0.83
MRI1,0.6,-0.28,0.32
MRM1,-0.4,-0.03,-0.18
MRM2,NA,NA,NA
MRM3,0.6,-0.27,-0.4
MRNIP,0.42,0.49,0.47
MROH1,-0.72,-0.43,-0.42
MROH2A,NA,NA,NA
MRPL1,0.62,-0.33,0.07
MRPL10,0.44,-0.36,0.21
MRPL11,-0.75,-0.47,-0.24
MRPL12,0.46,-0.75,-0.55
MRPL13,0.95,0,0.24
MRPL14,-0.61,-0.04,-0.24
MRPL15,0.86,-0.41,-0.06
MRPL16,0.61,-0.39,-0.21
MRPL17,0.49,-0.04,0.29
MRPL18,0.05,-0.76,-0.26
MRPL19,0.89,-0.46,-0.27
MRPL2,0.8,0.2,0.6
MRPL20,-0.58,-0.36,-0.36
MRPL21,1.01,-0.24,0.11
MRPL22,-0.14,-0.43,-0.27
MRPL23,1.59,0.14,0.49
MRPL24,0.67,0.49,0.32
MRPL27,-0.49,-0.23,0.1
MRPL28,-0.19,-0.75,-0.68
MRPL3,-1.24,-0.53,-0.29
MRPL30,-1.92,-0.56,-0.79
MRPL32,0.28,0.11,0.33
MRPL33,1.29,-0.15,-0.23
MRPL34,-1.04,0.25,0.17
MRPL35,-0.93,0.31,1.31
MRPL37,0.54,-0.22,0.16
MRPL38,-0.11,-0.86,-0.54
MRPL39,0.72,-0.45,-0.03
MRPL4,1.19,-0.06,0.26
MRPL40,0.56,-0.23,0.21
MRPL41,-2.07,-0.26,-0.16
MRPL42,1.17,-0.15,-0.01
MRPL43,0.35,-0.28,0.16
MRPL44,0.65,-0.55,-0.37
MRPL45,0.52,-0.14,0.11
MRPL46,0.3,-0.18,-0.01
MRPL47,0.16,-0.33,-0.34
MRPL48,-0.03,-0.33,-0.04
MRPL49,0.79,-0.44,-0.14
MRPL50,1.13,0.23,0.72
MRPL51,0.19,-0.07,0.09
MRPL52,1.63,-0.4,-0.02
MRPL53,0.76,-0.33,0.38
MRPL54,1.8,0.17,0.42
MRPL55,-0.13,-0.43,-0.05
MRPL57,1.24,-0.23,-0.05
MRPL58,0.18,-0.24,-0.03
MRPL9,1.43,0.07,0.56
MRPS10,1.25,-0.22,0.17
MRPS11,0.52,0.27,0.31
MRPS12,-0.16,-1.12,-0.62
MRPS14,-0.94,-0.62,-0.27
MRPS15,-1.7,-0.73,-0.42
MRPS16,-1.72,-0.33,-0.49
MRPS17,0.94,-0.25,0.08
MRPS18A,-1.19,-0.55,-0.61
MRPS18B,-1.27,-0.05,-0.29
MRPS18C,-0.49,-0.49,-0.2
MRPS2,-0.38,-0.64,-0.45
MRPS21,-0.3,-0.21,-0.08
MRPS22,0.32,-0.28,0.17
MRPS23,-0.2,-0.12,-0.08
MRPS24,-0.18,-0.07,-0.63
MRPS25,-0.42,-0.53,-0.16
MRPS26,-0.66,-0.35,-0.31
MRPS27,0.16,-0.54,-0.52
MRPS28,-0.47,-0.68,0.01
MRPS30,0.01,-0.33,-0.16
MRPS31,0.34,-0.07,-0.19
MRPS33,-0.9,-0.82,-0.62
MRPS34,-0.01,0.08,-0.03
MRPS35,0.68,-0.26,-0.12
MRPS36,0.85,0.23,0.66
MRPS5,-0.71,-0.43,-0.25
MRPS6,-0.84,-0.55,-0.38
MRPS7,-0.14,-0.84,-0.62
MRPS9,0.11,-0.58,-0.38
MRRF,-0.66,-0.5,-0.2
MRS2,NA,NA,NA
MRTO4,0.03,-0.3,-0.41
MRVI1,1.4,0.84,2.4
MS4A1,NA,NA,NA
MSANTD2,2.19,0.83,1.4
MSANTD3,NA,NA,NA
MSH2,-0.01,-0.19,-0.49
MSH3,-0.45,-0.12,-0.31
MSH6,-0.57,-0.54,-0.74
MSI1,0.76,0.01,0.28
MSI2,1.6,-0.19,-0.19
MSL1,0.65,0.7,0.69
MSL2,1.16,0.27,0.68
MSL3,-1.34,0.02,-0.75
MSLN,2.49,0.88,0.9
MSMB,NA,NA,NA
MSMO1,-0.57,-0.55,-0.13
MSN,-0.9,-0.03,0.1
MSR1,-0.63,0.01,-0.59
MSRA,1.18,-0.11,0.15
MSRB2,1.33,0.35,0.41
MSRB3,-0.69,0.87,1.05
MST1,0.93,0.65,1.65
MST1R,NA,NA,NA
MSTO1,-0.38,-0.55,-0.35
MSX2,1.97,1.16,1.38
MT1E,NA,NA,NA
MT1F,-2.61,-0.9,-0.61
MT1X,-3.38,-1.24,-0.11
MT2A,-3.48,-1.88,-1.5
MT3,NA,NA,NA
MTA1,-0.06,0.11,-0.18
MTA2,-0.73,-0.2,-0.39
MTA3,-0.07,-0.25,-0.36
MTAP,0.99,0.45,0.69
MTCH1,0.62,0.14,0.41
MTCH2,-0.62,-0.73,-0.38
MTCL1,-0.28,-0.12,0.18
MTDH,-1.79,-1.04,-0.64
MTERF1,NA,NA,NA
MTERF2,2.12,0.66,0.77
MTERF3,-0.86,-0.24,-0.35
MTERF4,0.07,-1.01,-0.34
MTF1,-1.31,-0.09,-0.2
MTF2,NA,NA,NA
MTFMT,NA,NA,NA
MTFP1,NA,NA,NA
MTFR1,0.44,0.33,0.4
MTFR1L,0.49,0.71,0.65
MTFR2,NA,NA,NA
MTG1,0.54,0.3,0.58
MTG2,-1.54,-0.39,-0.17
MTHFD1,0.43,-0.14,0.41
MTHFD1L,-0.88,-0.71,-0.53
MTHFD2,0.17,-0.43,-0.41
MTHFD2L,NA,NA,NA
MTHFR,-1.54,-0.25,-0.3
MTHFS,0.69,-0.14,-0.25
MTHFSD,-0.17,0.03,0.37
MTIF2,0.21,-0.38,-0.14
MTIF3,-0.01,0.23,0.14
MTM1,0.64,0.35,0.21
MTMR1,-0.71,0.07,-0.01
MTMR10,1.18,0.45,0.98
MTMR12,-0.1,0.18,0.01
MTMR14,0.13,0.14,-0.01
MTMR2,1.15,0.47,0.84
MTMR3,-0.42,0.11,0.25
MTMR4,0.18,0.51,0.84
MTMR6,0.25,0.14,0.22
MTMR9,-0.62,-0.16,-0.51
MTO1,-0.24,-0.14,0.1
MTOR,0.06,-0.27,-0.06
MTPAP,-0.96,-0.68,-0.68
MTPN,0.94,-0.22,0.36
MTR,0.43,0.42,0.28
MTRF1,0.94,0.11,0.26
MTRF1L,-0.88,-0.16,-0.37
MTRR,-1.89,-0.25,-0.58
MTSS1,1.21,-0.05,0.21
MTSS1L,-0.83,0.45,0.72
MTURN,0.71,0.83,1.85
MTUS1,-0.03,-0.04,0.09
MTX1,-0.6,-0.12,-0.36
MTX2,-0.08,-0.12,-0.25
MTX3,-0.4,-0.14,-0.05
MUC1,-0.12,0.7,-0.26
MUC16,1.31,2.43,0.46
MUC2,-1.43,-0.54,-0.58
MUC20,NA,NA,NA
MUC4,NA,NA,NA
MUC5B,0.1,-0.13,-0.48
MUC6,1.37,0.38,0.58
MUCL1,0.92,2.64,0.2
MUM1,NA,-0.73,-0.86
MUS81,NA,NA,NA
MUT,1.05,-0.11,0.3
MUTYH,NA,NA,NA
MVB12A,1.46,0.33,0.35
MVB12B,0.86,1.04,1.14
MVD,0.4,-0.28,0.53
MVK,-0.58,0.21,-0.01
MVP,0.2,-0.32,-0.22
MX1,-0.5,-1.1,-1.18
MX2,-1.26,-0.25,-0.55
MXRA5,-0.89,-0.72,-0.57
MXRA7,-0.74,0.61,1.57
MXRA8,-0.63,-0.47,0.12
MYADM,0.79,-0.85,-1.2
MYB,NA,NA,NA
MYBBP1A,-1.49,-0.51,-0.68
MYBPC1,NA,NA,NA
MYBPC3,NA,NA,NA
MYC,-2.35,-0.59,-1.33
MYCBP,-0.37,-0.13,-0.46
MYCBP2,-0.62,0.12,0.09
MYD88,-0.29,0.1,-0.07
MYDGF,-0.34,-0.54,-0.31
MYEF2,0.81,0.08,-0.5
MYH10,-0.31,0.2,0.11
MYH11,-0.13,0.74,1.33
MYH14,-0.21,-0.26,-0.25
MYH15,0.61,-0.16,-0.11
MYH4,NA,NA,NA
MYH6,NA,NA,NA
MYH7,NA,NA,NA
MYH8,2.92,2.08,2.63
MYH9,-0.68,-0.55,-0.54
MYL12A,0.76,0.13,0.06
MYL2,1.24,NA,NA
MYL3,NA,NA,NA
MYL4,0.65,0.89,1.9
MYL6,0.63,-0.06,0.16
MYL6B,-0.91,0.36,-0.1
MYL9,0.49,0.42,0.92
MYLK,-0.7,0.15,0.61
MYNN,NA,NA,NA
MYO10,-2.2,-0.76,-0.65
MYO15A,0.66,-0.03,-0.01
MYO18A,-0.7,-0.2,-0.32
MYO18B,2.58,1.3,2.01
MYO19,-0.42,-0.16,-0.09
MYO1B,-0.68,-0.04,-0.34
MYO1C,1.34,1.21,1.51
MYO1D,-0.61,-0.01,-0.25
MYO1E,-0.22,0.09,-0.17
MYO1F,-0.74,-0.07,-0.34
MYO1G,0.03,-0.11,-0.17
MYO5A,-0.86,-0.32,-0.47
MYO5B,-0.68,-0.54,-0.78
MYO5C,0.54,0.16,0.11
MYO6,-0.15,-0.78,-0.77
MYO9A,0.22,0.33,-0.04
MYO9B,-0.64,-0.18,-0.13
MYOC,NA,NA,NA
MYOF,-0.22,-0.01,-0.47
MYOM1,NA,NA,NA
MYOM2,NA,NA,NA
MYOZ1,NA,NA,NA
MYSM1,-2.68,-0.65,-1.06
MYT1,NA,NA,NA
MZB1,0.6,0.54,0.5
MZT1,1.34,0.37,0.47
MZT2B,1.32,0.79,0.36
N4BP1,0.2,0.24,0.4
N4BP2,-1.2,0.65,-0.16
N4BP2L1,NA,NA,NA
N4BP2L2,-1.85,-0.1,-0.65
N4BP3,0.53,-0.09,-0.17
N6AMT1,-0.06,0.03,-0.05
NAA10,-0.98,-0.46,-0.75
NAA15,-0.52,-0.37,-0.4
NAA16,1.41,0.7,0.42
NAA20,0.39,-0.35,0.45
NAA25,-0.07,-0.07,0.03
NAA30,0.12,0.18,0.06
NAA35,0.26,0.02,0.15
NAA38,-0.43,0.33,-0.45
NAA40,-1.32,-0.86,-0.43
NAA50,0.63,-0.05,-0.13
NAAA,-0.42,-0.79,-0.75
NAALADL2,0.6,0.26,0.34
NAB1,-0.44,1.26,-0.37
NAB2,0.72,0.79,0.24
NABP1,NA,NA,NA
NABP2,0.03,0.31,0.35
NACA,-0.54,-0.67,-0.79
NACC1,0.64,0.12,-0.09
NACC2,0.68,0.71,0.64
NADK,-0.25,-0.05,0.03
NADK2,0.81,0.05,0.2
NADSYN1,-0.88,-0.32,-0.07
NAE1,0.73,-0.37,-0.04
NAF1,1.14,0.24,-0.37
NAGA,0.67,-0.21,-0.11
NAGK,0.11,-0.39,-0.28
NAGLU,0.69,0.23,0.48
NAGPA,NA,NA,NA
NAIF1,-0.12,-0.12,-0.53
NAIP,0,-0.4,0.03
NAMPT,-0.11,-0.82,-0.62
NANOS1,NA,NA,NA
NANP,0.77,0.46,0.97
NANS,0.55,-0.17,-0.51
NAP1L1,-0.42,-0.53,-0.8
NAP1L2,NA,NA,NA
NAP1L4,-0.97,-0.59,-0.82
NAP1L5,-3.19,-1.13,-0.85
NAPA,1.05,0.28,0.4
NAPB,0.69,0.17,0.38
NAPEPLD,2.59,0.71,0.65
NAPG,0.35,0.08,0.13
NAPRT,1.29,0.29,0.77
NARF,-0.02,-0.93,-0.73
NARFL,0.31,0.38,0.09
NARS,0.61,-0.22,-0.18
NARS2,-0.51,-0.66,-0.3
NASP,-1.78,-0.92,-1.13
NAT1,2.45,0.99,0.12
NAT10,-1.12,-0.19,-0.47
NAT14,1.29,0.36,1.08
NAT6,2.39,0.79,1.62
NAT9,NA,NA,NA
NATD1,2.12,0.72,1.05
NAV1,-0.53,-0.08,-0.34
NAV2,-2.06,0.18,0.02
NAV3,0.28,0.66,0.17
NAXD,0.8,0.3,0.57
NAXE,0.69,-0.01,0.16
NBAS,0.2,-0.17,-0.06
NBEA,0.3,0.34,0.09
NBEAL1,0.86,0.22,0.31
NBEAL2,0.51,0.15,0.02
NBN,0.09,-0.22,-0.24
NBPF14,NA,NA,NA
NBR1,1.37,0.49,0.4
NCALD,0.54,-0.69,-0.24
NCAM1,1.01,1.03,1.74
NCAM2,-0.75,-0.34,-0.43
NCAN,NA,NA,NA
NCAPD2,-0.2,-0.72,-0.39
NCAPD3,0.44,0.18,0.12
NCAPG,-0.6,-0.7,-0.65
NCAPG2,0.87,-0.02,0.1
NCAPH,-1.28,-0.56,-0.62
NCAPH2,-0.6,-0.44,-0.71
NCBP1,-0.16,-0.48,-0.62
NCBP2,-0.51,-0.05,-0.66
NCBP3,-1.74,-0.42,-0.74
NCCRP1,-1.65,-1.37,-1.05
NCDN,0.64,0.63,-0.08
NCEH1,0.76,-0.32,-0.35
NCF1,0.43,-0.06,-0.02
NCF2,0.18,-0.16,-0.01
NCF4,0.93,-0.05,0.25
NCK1,0.01,-0.16,0.05
NCK2,0.13,0.2,0.44
NCKAP1,-1.01,-0.39,-0.49
NCKAP1L,-1.3,-0.41,-0.81
NCKAP5,NA,NA,NA
NCKAP5L,-0.27,0.63,0.52
NCKIPSD,0.8,0.21,0.23
NCL,-1.9,-1.37,-1.33
NCLN,-0.31,-0.49,-0.39
NCOA1,0.6,0.66,0.44
NCOA2,-0.31,0.1,-0.04
NCOA3,-0.45,0.38,0.34
NCOA4,2.61,0.41,1.14
NCOA5,-0.54,-0.03,-0.37
NCOA6,-1.05,0,-0.07
NCOA7,0.97,0.52,0.63
NCOR1,-0.33,0.39,0.08
NCOR2,-0.32,0.12,-0.14
NCS1,0.31,0.78,0.87
NCSTN,0.98,0.26,0.37
ND1,1.56,0.35,0.79
ND2,NA,NA,NA
ND5,0.75,0.18,0.79
NDC1,0.83,0.3,0.17
NDC80,-1.64,-0.98,-0.92
NDE1,-0.19,0.19,0.28
NDEL1,0.33,0.75,0.69
NDOR1,0.72,0.64,1.01
NDRG1,-0.06,-0.23,-0.12
NDRG2,0.05,0.23,0.28
NDRG3,0.51,-0.02,-0.13
NDRG4,NA,NA,NA
NDST1,NA,NA,NA
NDUFA1,1.49,0.41,0.56
NDUFA10,0.06,-0.08,0.06
NDUFA11,2.09,0.18,0.65
NDUFA12,0.62,0.24,0.35
NDUFA13,1.82,0.73,1.11
NDUFA2,0.4,0.39,0.47
NDUFA3,0.22,0.28,0.63
NDUFA4,-0.57,-0.77,-0.48
NDUFA4L2,NA,NA,NA
NDUFA5,0.29,-0.25,0.2
NDUFA6,0.14,-0.16,0.33
NDUFA7,-2.41,-0.04,-0.31
NDUFA8,0,-0.12,0.05
NDUFA9,-0.44,-0.37,-0.42
NDUFAB1,-0.2,-0.85,-0.56
NDUFAF1,0.19,0.58,0.63
NDUFAF2,-0.11,-0.28,-0.12
NDUFAF3,1.07,0.14,0.54
NDUFAF4,0.98,0.05,0.6
NDUFAF5,1.32,0.58,1.08
NDUFAF6,-0.2,-0.51,-0.62
NDUFAF7,1.25,0.24,0.75
NDUFAF8,-1.46,-0.28,-0.26
NDUFB1,1.12,-0.14,0.51
NDUFB10,0.54,-0.01,0.29
NDUFB11,-0.44,-0.1,0.2
NDUFB2,-3.03,-1.04,-1.69
NDUFB3,-0.7,0.02,0.19
NDUFB4,1.43,0.57,0.72
NDUFB5,-2.11,-1.07,-0.91
NDUFB6,-0.5,-0.84,-0.32
NDUFB7,-0.54,-0.14,-0.21
NDUFB8,-0.11,-0.52,-0.23
NDUFB9,1.35,0.53,0.73
NDUFC1,1.42,0.59,0.83
NDUFC2,-0.21,-0.04,-0.24
NDUFS1,1.06,0.1,0.49
NDUFS2,0.84,0.04,0.21
NDUFS3,1.85,0.55,0.83
NDUFS4,0.28,0.16,0.49
NDUFS5,0.81,0.16,0.53
NDUFS6,-1.15,-0.23,0.35
NDUFS7,0.3,-0.12,-0.02
NDUFS8,0.23,-0.08,0.19
NDUFV1,0.87,-0.05,0.2
NDUFV2,1.6,0.21,0.55
NDUFV3,-0.76,-0.05,0.08
NEB,NA,NA,NA
NEBL,-1.25,0.05,-0.73
NECAP1,-0.39,-0.19,-0.46
NECAP2,0.8,-0.27,-0.07
NECTIN1,0.49,0.56,1.21
NECTIN2,0.63,-0.06,0.07
NECTIN4,-1.2,-0.65,-0.48
NEDD1,-0.23,-0.02,-0.2
NEDD4,0.31,-0.02,0.36
NEDD4L,0.84,-0.43,-0.18
NEDD8,1.31,0.26,0.68
NEDD9,-1.84,-0.65,-0.89
NEFH,-1.86,-0.13,-0.15
NEFL,0.5,0.82,0.75
NEFM,4.18,4.18,4.81
NEGR1,0.93,0.87,1.86
NEIL1,NA,NA,NA
NEIL2,0.09,-0.06,0.22
NEK1,-0.11,0.28,0.09
NEK11,NA,NA,NA
NEK3,NA,NA,NA
NEK4,0.75,0.25,0.02
NEK5,NA,NA,NA
NEK6,0.52,-0.11,-0.03
NEK7,1.05,0.43,0.54
NEK9,0.19,0,0.06
NELFA,0.08,-0.04,-0.41
NELFB,-0.4,-0.13,-0.21
NELFCD,0.01,-0.09,-0.31
NELFE,0.36,-0.01,-0.13
NELL2,-0.59,0.81,0.98
NEMF,-1.51,-0.51,-0.56
NEMP1,-4.45,-2.06,-2.54
NENF,-0.11,-0.56,-0.41
NEO1,1.36,0.58,1.01
NEPRO,-0.37,0.43,0.16
NES,-0.7,-0.07,0.19
NEU1,-0.54,-0.26,-0.45
NEURL4,-1.24,0.11,-0.12
NEXN,-1.08,-0.44,-0.38
NF1,-0.21,-0.21,-0.19
NF2,0.23,0.22,0.04
NFAM1,NA,NA,NA
NFASC,0.06,0.05,0.38
NFAT5,-1.75,0.38,-0.05
NFATC1,-0.45,0.64,0.2
NFATC2,-0.36,0.09,-0.11
NFATC2IP,0.86,0.35,-0.02
NFATC3,-0.3,0.19,-0.12
NFATC4,-0.41,-0.45,-0.49
NFIA,-0.27,0.13,0.35
NFIB,-0.52,0.39,0.49
NFIC,-0.11,0.13,-0.08
NFIL3,NA,NA,NA
NFIX,0.27,0.5,0.34
NFKB1,0.44,-0.03,-0.04
NFKB2,-0.35,-0.2,-0.18
NFKBIA,-0.18,-0.4,-0.13
NFKBIB,-2.14,-0.89,-0.92
NFKBIE,-0.68,-0.42,-0.42
NFKBIL1,2.23,-0.03,0.17
NFRKB,0.02,0.41,0.06
NFS1,0.4,-0.07,0.19
NFU1,0.71,-0.07,0.27
NFX1,-0.59,0,-0.01
NFXL1,-1.64,-0.63,-0.49
NFYA,0.66,0.23,0.31
NFYB,-0.14,0.39,-0.09
NFYC,0.73,0.86,0.63
NGDN,-0.92,-0.35,-0.44
NGFR,-1.16,1.28,1.62
NGLY1,1.34,0.5,0.84
NGRN,NA,NA,NA
NHEJ1,0.25,0.05,0
NHLRC2,0.81,0.49,0.66
NHLRC3,1.6,0.42,0.58
NHP2,0.04,-0.15,-0.33
NHS,-2.15,0.57,1.34
NHSL1,0.69,0.34,0.47
NHSL2,-0.41,0.24,-0.45
NID1,1.67,1.33,1.83
NID2,0.86,0.85,1.64
NIF3L1,0.76,0.23,0.74
NIFK,-0.65,-0.29,-0.07
NIN,1.63,1.04,0.29
NINJ1,1.12,1.47,-0.42
NINJ2,-0.01,-0.4,-0.21
NIP7,-0.34,-0.41,-0.46
NIPAL3,1.09,-0.04,0.89
NIPBL,-0.57,0,-0.3
NIPSNAP1,1,0.14,0.15
NIPSNAP2,0.32,-0.19,0.19
NIPSNAP3A,1.47,0.41,0.93
NISCH,1.38,0.19,0.83
NIT1,1.09,0.25,0.36
NIT2,1.39,0.1,0.46
NKAP,-1.32,-0.09,0.06
NKIRAS1,2.2,0.63,0.52
NKIRAS2,0.28,0.51,0.01
NKRF,-0.74,-0.32,-0.66
NKTR,-1.53,-0.73,-0.91
NLE1,0.47,0.22,0.27
NLN,0.76,-0.43,-0.02
NLRC4,-0.98,-0.1,-0.22
NLRC5,NA,NA,NA
NLRP1,NA,NA,NA
NLRP2,0.02,-0.45,-0.13
NLRX1,1.67,0.45,0.54
NMD3,-0.27,-0.04,-0.13
NME1,-1.42,-1.16,-0.57
NME2,0.13,-0.59,-0.48
NME3,-0.45,-0.07,-0.23
NME4,-0.37,0.26,-0.01
NME6,-0.44,-0.47,-0.22
NME7,0.1,0.05,0.18
NMI,-0.13,-0.19,-0.33
NMNAT1,-0.12,-0.59,-0.47
NMNAT3,0.57,0.27,0.81
NMRAL1,1.54,0.16,0.25
NMRK1,1.36,0.12,0.6
NMT1,-0.34,-0.29,-0.25
NMT2,0.15,0.63,1.17
NNMT,-0.92,-0.77,-0.75
NNT,-0.39,-0.5,-0.25
NOA1,1.54,0.39,0.35
NOB1,-1.2,-0.06,-0.14
NOC2L,-0.9,-0.83,-0.72
NOC3L,-0.68,-0.3,0.08
NOC4L,-0.16,-0.17,-0.42
NOCT,0.46,-0.34,-0.18
NOL10,-0.45,-0.04,-0.46
NOL11,0.07,-0.11,-0.56
NOL12,NA,NA,NA
NOL3,-0.4,-0.69,-0.52
NOL4L,0.4,0.45,-0.15
NOL6,0.26,-0.22,-0.21
NOL7,-1.31,-0.1,-0.68
NOL8,-0.99,-0.16,-0.27
NOL9,-0.28,-0.21,-0.32
NOLC1,-2.48,-1.25,-1.24
NOM1,-0.37,-0.57,-0.6
NOMO1,NA,NA,NA
NOMO3,1.66,0.49,0.84
NONO,-0.46,-0.27,-0.47
NOP10,-0.78,-0.14,-0.34
NOP14,-1.58,-0.41,-0.57
NOP16,-1.13,-0.66,-0.34
NOP2,-1.2,-0.97,-0.6
NOP53,-1.02,0.41,0.05
NOP56,-0.82,-0.41,-0.46
NOP58,-0.7,-0.19,-0.44
NOP9,0.52,-0.1,0.21
NOS1AP,-1.26,0.29,-0.59
NOS3,-0.34,0.23,0.72
NOSIP,-0.85,-0.24,-0.72
NOSTRIN,-0.21,0.3,0.38
NOTCH1,-1.89,0.13,0.11
NOTCH2,-0.6,0.23,0.29
NOTCH3,-0.9,0.26,0.22
NOV,-1,0.94,0.7
NOVA1,0.25,0.33,0.3
NOVA2,-3.43,-1.25,-1.07
NOXA1,-0.38,0.39,0.17
NPAT,1.3,-0.03,0.02
NPC1,-0.68,-0.56,-0.26
NPC2,-1.12,0.23,-0.2
NPDC1,0.21,0.95,0.16
NPEPL1,1.05,0.21,0.23
NPEPPS,-0.11,-0.21,-0.54
NPHP1,-0.35,0.77,1.25
NPHP3,-1.27,-0.25,2.22
NPHP4,NA,NA,NA
NPL,1.05,0.48,0.13
NPLOC4,0.11,-0.18,0.1
NPM1,-0.87,-0.59,-0.7
NPM3,-0.15,0.01,0.55
NPNT,0.18,-0.22,-0.31
NPRL2,0.87,0.16,0.63
NPRL3,1.84,0.57,0.56
NPTN,-0.73,0.01,0.18
NPTX1,-4.57,-1.68,-1.63
NPY1R,-1.81,-0.53,-0.98
NQO1,-0.35,0.06,0.32
NQO2,1.59,1.42,1.55
NR1D1,NA,NA,NA
NR1H2,1.9,0.98,1.6
NR2C1,NA,NA,NA
NR2C2,0.27,0.42,0.46
NR2C2AP,-0.73,-0.16,0.11
NR2F2,-0.43,0.04,-0.26
NR2F6,-0.35,0.01,-0.03
NR3C1,0.07,0.27,0.4
NRAS,1.84,0.85,1.14
NRBF2,-1.85,-0.15,-0.08
NRBP1,0.49,-0.1,-0.06
NRBP2,0.44,0.29,0.59
NRCAM,1.5,0.23,0.51
NRDC,-0.18,-0.49,-0.39
NRDE2,-1.79,-0.33,-0.42
NRF1,0.01,-0.18,-0.57
NRGN,-1.99,0.91,-0.65
NRIP1,NA,NA,NA
NRIP2,0.16,1.56,0.9
NRIP3,2.53,-0.09,0.78
NRP1,0.41,0.97,1.38
