,C3N-00439,C3L-01955,C3L-01962,C3N-02818,C3N-01803,C3N-00243,C3N-02261,C3N-01903,C3N-00496,C3N-03021,C3L-01279,C3N-01650,C3L-01865,C3L-02212,C3N-01653,C3N-02440,C3N-00958,C3N-01652,C3L-02210
NUDT16,0.11,0.02,-0.04,-0.26,-0.55,-0.12,-0.02,-0.15,0.04,-0.16,-0.19,-0.47,-0.01,-0.22,-0.37,-0.06,-0.04,0.03,-0.47
NUDT16L1,0.07,0.39,0.31,-0.03,-0.26,0.03,0.24,-0.01,0.09,0.26,-0.15,-0.1,0.27,0.13,0.22,0.37,0.15,0.18,0.14
NUDT18,-0.37,-0.47,-0.99,-0.48,-0.18,0.07,-0.17,-0.16,-0.44,-0.6,-0.46,-0.19,-0.64,-0.22,-0.08,-0.69,-0.35,0.11,-0.16
NUDT19,0.4,0.38,0.18,-0.03,-0.15,0.42,0.45,0.53,0.37,0.38,0.09,-0.55,0.31,0.15,0.15,0.38,0.15,0.21,-0.4
NUDT2,-0.02,0.26,-0.37,-0.17,-0.14,0.25,0.24,0.21,0.04,-0.04,0.1,0.34,0.2,-0.08,-0.33,-0.08,0.19,-0.36,-0.41
NUDT21,-0.02,0,-0.19,-0.11,0.07,0.07,0.08,-0.19,-0.16,-0.09,-0.01,0.17,-0.17,-0.1,0.1,-0.12,-0.22,0.06,0.33
NUDT3,-0.28,-0.45,-0.35,-0.11,-0.09,-0.22,-0.21,-0.31,-0.2,-0.19,0.03,0.34,-0.1,-0.44,0.02,-0.22,-0.16,-0.5,0.01
NUDT4,0.04,0.09,-0.03,-0.24,-0.01,0.19,0.65,0.31,0.19,0.01,0.46,-0.06,0.1,0.12,1,0.47,-0.18,0.21,0
NUDT5,-0.09,-0.06,-0.24,-0.22,-0.52,0.02,0.03,-0.32,-0.16,-0.26,-0.08,-0.54,-0.34,-0.32,-0.23,-0.09,-0.29,0.01,-0.77
NUDT6,0.32,1.09,0.96,0.71,-0.52,1.17,0.97,1.13,1.04,0.86,0.19,-1.12,1.08,1,0.34,0.21,0.24,1.19,-1.44
NUDT8,0.68,0.68,0.54,0.22,-0.03,0.53,0.31,0.86,0.58,0.3,0.3,-0.81,0.72,0.71,0.4,0.44,0.57,0.66,-0.69
NUDT9,0.53,0.63,0.43,0.46,0.01,0.5,0.45,0.53,0.49,0.23,0.26,-0.19,0.39,0.25,-0.06,0.48,0.4,0.44,-0.5
NUFIP2,-0.4,0.04,-0.17,-0.22,0.21,-0.23,-0.21,-0.24,-0.02,-0.05,-0.09,-0.02,-0.26,-0.15,0.1,-0.24,-0.09,-0.33,-0.06
NUMA1,-0.16,0,0.03,0.02,0.14,0.01,0.08,-0.1,-0.15,0.04,0.2,0.49,-0.02,0.03,0.17,0.1,-0.13,0,0.5
NUMB,0.25,0.25,0.15,0.21,0.01,0.19,0.3,0.2,0.16,0.16,0.18,0.31,0.27,0.17,0.37,0.2,0.25,0.28,0.08
NUMBL,-0.19,0.22,0.03,0.2,0.34,-0.02,-0.05,0.06,0.13,0.03,0.46,0.99,-0.11,0.46,0.24,0.15,0.08,0.07,1.01
NUP107,-0.26,-0.22,-0.16,-0.05,-0.03,-0.14,-0.04,-0.17,-0.25,0.03,0,0.26,-0.14,-0.22,-0.03,-0.08,-0.22,-0.16,0.07
NUP133,-0.21,-0.06,-0.05,-0.07,-0.02,-0.05,0.01,-0.08,-0.13,-0.16,-0.05,0.13,-0.17,-0.14,-0.07,-0.06,-0.27,-0.07,0.22
NUP153,-0.09,-0.12,-0.19,-0.07,0.07,-0.14,-0.01,-0.12,-0.18,-0.18,0.04,0.26,-0.15,-0.13,-0.03,-0.12,-0.2,-0.04,0.3
NUP155,-0.08,0.04,-0.08,-0.11,0.06,-0.13,-0.08,-0.08,-0.14,0.1,0,0.2,-0.15,0,0.04,-0.02,-0.16,-0.16,0.1
NUP160,-0.23,-0.14,-0.05,-0.05,0.09,-0.14,-0.02,-0.05,-0.2,-0.03,-0.02,0.05,-0.23,-0.04,-0.05,-0.06,-0.18,-0.16,0.19
NUP188,-0.21,0.15,-0.09,-0.06,0.01,-0.06,0.01,0.03,-0.28,-0.08,-0.08,0.33,-0.13,0.03,0.09,0.01,0,-0.11,0.04
NUP205,-0.03,-0.07,-0.09,-0.05,-0.03,-0.09,-0.02,-0.15,-0.16,0.16,-0.07,0.18,-0.17,-0.03,-0.02,-0.14,-0.24,-0.15,0.25
NUP210,0.45,0.43,0.39,0.27,0.16,0.45,0.31,0.47,0.03,0.43,-0.05,0.4,0.46,0.24,-0.08,0.4,0.57,0.56,0.16
NUP214,-0.13,-0.14,-0.08,-0.08,0.02,-0.11,-0.08,-0.2,-0.13,-0.17,0.01,0.23,-0.19,-0.07,0.02,-0.09,-0.25,-0.13,0.13
NUP35,0.16,-0.03,-0.16,0.05,0.08,0.06,0.12,-0.05,-0.01,-0.04,0.11,0.2,0.07,-0.2,-0.03,0.11,-0.09,-0.04,0.07
NUP37,-0.09,0.15,0,-0.09,0.04,0.04,0.11,-0.01,-0.1,-0.09,0.06,0.32,-0.06,0.22,0.01,-0.07,-0.2,0.06,0.28
NUP42,-0.44,-0.2,0.06,0.01,-0.23,-0.18,0.02,-0.27,-0.26,-0.31,0.13,0.27,-0.35,-0.03,0.17,-0.25,0.02,-0.05,0.21
NUP43,-0.2,-0.16,-0.39,0.27,-0.38,-0.03,-0.02,-0.07,0.11,-0.54,0.27,-0.07,-0.24,-0.25,-0.28,-0.44,-0.6,-0.16,-0.47
NUP50,-0.29,-0.19,-0.24,-0.17,0.11,-0.18,-0.2,-0.33,-0.19,-0.22,-0.01,0.27,-0.32,-0.16,0.07,-0.3,-0.25,-0.26,0.12
NUP54,-0.16,-0.05,-0.22,-0.08,-0.06,-0.08,0.03,-0.24,-0.2,-0.2,0.12,0.12,-0.17,-0.18,-0.14,-0.19,-0.2,-0.07,0.08
NUP58,-0.18,-0.12,-0.27,-0.18,-0.03,-0.16,-0.07,-0.14,-0.22,-0.07,0,0.19,-0.24,-0.25,0.03,-0.18,-0.02,-0.12,0.06
NUP62,-0.27,-0.2,-0.2,-0.16,-0.15,-0.17,-0.05,-0.29,-0.19,-0.37,0.19,0.27,-0.2,-0.24,-0.05,-0.19,-0.38,-0.21,0.17
NUP85,-0.14,-0.11,-0.22,0.06,0.06,-0.27,-0.14,-0.2,-0.28,-0.04,-0.13,0.18,-0.22,-0.1,-0.12,-0.13,-0.23,-0.18,0.3
NUP88,-0.13,-0.06,-0.03,-0.03,0.06,-0.01,-0.02,0,-0.16,-0.14,0.04,0.16,-0.09,-0.11,0,0.03,-0.09,-0.13,0.26
NUP93,-0.13,-0.08,-0.17,-0.04,0.1,-0.07,-0.01,-0.17,-0.22,-0.08,0.04,0.27,-0.1,-0.09,0.02,-0.09,-0.19,-0.07,0.21
NUP98,-0.21,-0.17,-0.22,0.03,0.05,-0.16,-0.07,-0.23,-0.23,-0.03,0.05,0.25,-0.17,-0.09,0.01,-0.12,-0.26,-0.25,0.13
NUPR1,NA,0.43,-0.52,0.42,-0.11,-0.36,-0.02,0.37,NA,NA,-0.09,-0.71,0.31,0.11,-0.2,0.33,-0.28,-0.28,0.36
NUS1,-1.28,NA,-0.44,NA,-0.45,-0.69,-0.82,NA,-0.92,-1.13,0.41,-0.47,1.19,NA,-0.25,NA,0.1,-0.12,NA
NUTF2,-0.26,-0.34,-0.27,-0.19,-0.13,-0.13,-0.16,-0.38,-0.22,-0.09,0.06,0.01,-0.28,-0.3,-0.15,-0.22,-0.21,-0.18,-0.13
NVL,-0.34,-0.25,-0.47,-0.1,-0.07,-0.11,-0.23,-0.09,-0.19,-0.14,0.01,-0.22,-0.3,-0.09,0.07,-0.16,-0.5,-0.19,-0.03
NXF1,-0.13,-0.13,-0.13,-0.05,0.15,-0.03,-0.04,-0.07,-0.16,-0.1,0.02,0.19,-0.22,-0.08,0.14,-0.1,-0.07,-0.13,0.19
NXN,-0.54,-0.42,-0.28,-0.16,0.4,-0.35,-0.36,-0.09,-0.39,-0.17,0.05,0.27,-0.46,0.08,0.36,-0.3,-0.27,-0.22,0.75
NXT1,-0.18,0.09,0.08,0.11,NA,-0.02,-0.01,-0.24,-0.3,-0.2,0.21,0.42,0.28,0.06,0.01,0.28,NA,0.12,0.55
OAF,-0.34,1.04,0.75,-0.05,-0.19,0.07,0.2,0.24,0.83,0.09,0.64,0.48,0.11,0.47,0.35,0.1,0.51,0.08,0.16
OARD1,0.14,0.27,-0.05,-0.19,-0.18,0.07,0.15,-0.15,0.07,-0.07,0.19,0.07,-0.05,-0.01,0.09,-0.23,-0.2,0.03,0.14
OAS1,-0.43,-1.17,-0.76,0.15,-1.02,0.13,-0.2,-0.18,0.09,-1.63,-0.92,0.08,-0.09,0.05,-0.32,-0.34,-0.14,-0.58,0.55
OAS2,-0.99,-1.02,-1.24,-0.75,-0.5,-1.08,-0.95,-1.51,-0.86,-0.77,-0.96,0.05,-1.72,-0.59,-0.86,-1.29,-0.9,-1.02,0.83
OAS3,-2.03,-0.79,-0.72,-0.7,-0.12,-0.96,-0.75,-1.83,-0.94,-0.59,-0.4,0.34,-0.9,-0.89,-0.45,-0.83,-0.85,-0.96,0.97
OAT,1.01,1.03,1.21,0.17,-0.67,0.82,0.57,1.04,0.52,0.7,0.11,-1.02,0.88,0.19,-0.66,0.11,1.19,1.28,-1.33
OBSL1,-0.05,-0.05,-0.21,-0.16,0.36,-0.2,0.13,-0.01,-0.06,-0.09,0.36,0.03,-0.07,0.19,0.51,-0.37,-0.44,-0.09,-0.15
OCIAD1,0.45,0.76,0.43,0.27,0.18,0.36,0.41,0.6,0.41,0.36,0.18,-0.44,0.52,0.4,0.36,0.43,0.58,0.51,-0.22
OCIAD2,0.38,0.95,0.71,0.54,0.45,0.64,0.37,0.72,0.51,0.79,-0.06,-0.55,0.57,0.9,-0.16,0.94,0.81,0.67,-0.26
OCLN,0.12,0.08,0.05,-0.2,0.2,0.21,0.54,0.12,0.42,0.32,0.16,0.3,0.05,0.46,0.68,0.56,-0.27,0.26,-0.19
OCRL,-0.25,0.03,-0.07,0.01,-0.06,0.1,-0.04,-0.07,-0.17,-0.1,0.06,0.18,0.09,-0.06,0.13,0.08,0.05,-0.01,0.15
ODAD3,-0.57,NA,-0.63,-0.99,-0.27,NA,NA,-1.05,-0.6,-0.66,-0.49,NA,-0.65,NA,NA,-1,-0.45,NA,NA
ODAD4,NA,NA,-0.05,-0.35,NA,1.09,1.06,0.14,NA,NA,-0.12,-0.37,0.04,NA,-0.02,-0.59,NA,0.96,NA
ODF2,0.18,-0.55,-0.02,-0.08,0.01,-0.06,-0.08,-0.01,0.09,0.17,0.27,0.33,0.03,-0.38,0.37,-0.1,-0.16,0.17,0.36
ODR4,0.48,0.47,0.39,0.13,0.27,0.23,0.25,0.42,0.14,0.17,0.02,-0.17,0.38,0.47,0.04,0.36,0.35,0.35,0.11
OFD1,-0.14,0.05,0.1,-0.02,-0.46,-0.04,-0.16,-0.12,0.14,0.73,0.46,-0.77,0.25,-0.1,-0.15,0.14,-0.08,-0.09,0.43
OGA,-0.33,-0.16,-0.11,-0.33,-0.36,-0.05,-0.44,-0.51,-0.35,-0.45,-0.44,-0.25,-0.24,-0.13,-0.65,-0.43,-0.3,-0.33,-0.36
OGDH,0.56,0.53,0.49,0.06,-0.18,0.6,0.44,0.54,0.46,0.21,0.03,-0.78,0.49,0.39,0.07,0.18,0.52,0.7,-0.75
OGDHL,0.49,0.79,0.65,0.24,-0.33,0.49,0.36,0.86,0.8,0.25,0.25,-0.82,0.59,0.48,0.01,0.38,0.44,0.67,-0.76
OGFOD1,0.24,-0.05,-0.44,NA,0.31,-0.35,-0.2,NA,-0.28,-0.06,-0.11,-0.27,-0.21,-0.01,0.04,NA,0.14,-0.45,0.13
OGFOD2,0.23,0.27,0.02,-0.25,-0.27,0.43,0.61,0.06,-0.02,-0.13,-0.21,-0.98,0.22,0.12,-0.53,-0.11,0.24,0.44,-0.75
OGFOD3,-0.08,0.35,0.7,0.46,0.91,0.36,0.51,-0.03,-0.15,0.11,0.66,1.03,0.76,0.45,0.88,0.3,0.66,0.67,0.28
OGFR,-0.4,-0.51,-0.2,-0.28,-0.02,-0.58,-0.39,-0.36,-0.47,-0.49,-0.35,0.15,-0.42,-0.37,-0.33,-0.41,-0.45,-0.52,-0.06
OGFRL1,-0.4,-0.63,-0.27,-0.05,0.08,NA,-0.3,-1.14,-0.19,-0.08,-0.5,0.25,-0.42,-0.32,0.15,-0.54,-0.88,-6.91,-0.01
OGN,-0.85,-0.24,0.3,0.8,-0.29,-0.59,-0.85,-0.51,-0.38,-0.51,0.43,0.44,-0.55,0.1,-0.48,-0.35,-0.3,-0.79,0.52
OGT,-0.11,-0.07,-0.1,-0.17,0.02,-0.18,0.01,-0.15,-0.07,-0.07,0.05,0.14,-0.11,-0.16,0.43,0,-0.25,-0.17,0.24
OLA1,0.08,-0.1,-0.02,-0.13,-0.11,-0.03,-0.02,0.02,0,-0.09,0.07,-0.31,-0.03,-0.17,-0.18,-0.05,0.05,-0.18,-0.34
OLFM4,-0.82,-2.33,-0.75,-0.29,0.54,-0.3,-0.51,-0.62,-0.49,-0.88,-1.95,1.95,-1.54,-1.21,-1.29,-0.9,-0.93,-0.67,-1.44
OLFML1,-1.16,0.55,0.38,1.98,0.14,0.6,0.14,0.47,-0.32,0.4,1.03,1.89,-0.47,0.33,-0.77,0.44,-1.02,0.24,0.81
OLFML3,-0.5,0.68,0.49,1.57,0.26,0.49,0.3,0.61,-0.11,0.27,0.92,1.4,0.04,0.59,-0.22,0.38,-0.31,0.51,0.72
OMA1,0.75,0.85,0.96,0.09,0.24,1.07,0.86,0.54,0.37,0.64,0.25,-0.55,0.88,0.95,0.27,0.73,1.05,0.97,-0.31
OPA1,0.75,0.41,0.38,0.1,-0.19,0.48,0.19,0.57,0.34,0.12,0.11,-0.39,0.33,0.21,0.01,0.32,0.44,0.57,-0.43
OPA3,0.59,0.33,0.79,0.68,0.65,0.12,-0.32,0.88,0.71,0.55,0.18,-0.4,0.18,0.3,0.2,0.82,0.35,0.14,0.32
OPHN1,0.1,NA,-0.1,-0.12,0.05,NA,NA,0.24,-0.02,0.1,-0.29,0.26,0.1,NA,0.33,0.14,-0.42,NA,NA
OPLAH,0.31,0.17,0.16,0.03,0.02,0.3,0.23,0.39,0.25,0.15,0.04,-0.28,0.14,0.19,0.04,0.28,0.12,0.24,-0.61
OPTN,0.17,0.08,-0.09,0.13,-0.06,0.04,0.02,0.18,-0.02,-0.04,-0.08,-0.01,0,0.02,-0.23,0.12,0.01,0.11,-0.13
ORC2,-0.26,0.05,-0.29,-0.53,-0.02,-0.48,-0.68,-0.19,-0.36,-0.25,-0.37,0.12,-0.13,0,0.01,-0.05,-0.19,-0.74,0.25
ORC3,-0.22,-0.05,-0.09,-0.28,-0.08,-0.01,0.17,-0.25,-0.29,0.14,-0.25,0.19,-0.22,0,0.15,-0.15,-0.16,0.09,0.44
ORC4,-0.33,0.05,0.04,-0.17,0.05,-0.17,-0.02,-0.08,0.01,-0.06,-0.02,-0.09,-0.01,0.2,-0.13,-0.22,-0.24,-0.35,-0.22
ORC5,-0.36,0.22,NA,-0.1,NA,NA,NA,-0.14,-0.13,0.17,NA,-0.08,NA,0.06,-0.09,0,NA,NA,0.36
ORM1,-1.01,-1.42,-1.55,-1.25,-0.18,-0.48,-0.87,-0.73,0.05,-0.42,-0.3,0.49,-0.87,-0.66,0.65,-0.82,0,-1.55,-0.52
ORM2,-1.03,-1.18,-1.51,-0.92,-0.22,-0.2,-0.59,-0.88,0,-0.39,-0.51,-0.37,-0.72,-0.63,0.57,-0.77,0.18,-1.95,-0.33
OS9,-0.15,-0.07,-0.12,0.03,0.19,-0.24,-0.25,-0.28,-0.09,-0.09,-0.09,0.1,-0.12,-0.04,-0.08,-0.3,-0.01,-0.1,0.31
OSBP,0.21,0.2,0.15,0.11,0.07,0.38,0.2,0.21,0.15,0.18,0.11,-0.16,0.33,0.19,0.29,0.44,0.19,0.19,-0.19
OSBP2,-0.24,NA,NA,0,-0.02,NA,NA,0.31,0.33,0.05,NA,-0.46,NA,NA,-0.03,0.31,0.3,NA,NA
OSBPL10,0.2,0.48,0.44,0.2,0.38,0.23,0.28,0.19,0.14,0,0.29,-0.06,0.28,0.28,-0.32,0.62,0.49,0.27,0.37
OSBPL11,0.19,0.14,0.15,-0.09,-0.1,-0.1,-0.14,-0.03,0.18,0.11,-0.09,0.02,-0.04,0.32,0.08,-0.01,0.02,0.02,0.06
OSBPL1A,-0.08,0.01,-0.03,0.03,-0.23,0.07,0.11,-0.03,-0.02,-0.12,-0.13,0.13,-0.13,-0.06,0.15,-0.13,-0.1,0.08,-0.16
OSBPL2,0.17,0.05,0.18,-0.04,0.18,0.05,0.14,0.01,0.11,0.05,0.04,0.01,0.1,0.16,0.42,0.2,-0.01,-0.11,0.17
OSBPL3,-0.44,-0.42,0.12,-0.41,-0.08,-0.53,-0.01,-0.34,-0.4,-0.29,-0.04,-0.37,0.02,-0.47,0.33,-0.33,-0.67,-0.38,0.16
OSBPL5,NA,-0.35,-0.38,0.09,NA,NA,NA,0.02,NA,NA,-0.21,0.18,-0.1,-0.27,0.19,-0.14,NA,NA,-0.22
OSBPL8,0.77,0.74,0.72,0.45,-0.08,0.68,0.42,0.8,0.33,0.56,-0.07,0.16,0.58,0.43,0.06,0.61,0.74,0.67,-0.01
OSBPL9,0.37,0.27,0.14,0.09,0.31,0.13,0.13,0.16,0.09,0.05,0.03,-0.01,0.08,0.08,-0.14,0.15,0.31,0.28,0.09
OSCP1,-0.27,-0.12,-0.07,-0.25,-0.6,-0.04,-0.04,-0.06,-0.23,-0.09,-0.07,-0.52,-0.01,-0.11,-0.21,-0.06,-0.13,-0.16,-0.53
OSGEP,-0.06,-0.19,0.11,0.04,0.08,-0.06,0.06,0.11,-0.11,-0.07,-0.08,0.19,0.06,-0.02,0.06,0.28,0.16,-0.01,-0.02
OSGEPL1,0.81,-0.14,0.6,0.34,-0.05,1.06,0.66,0.67,0.56,0.79,-0.06,-0.68,0.07,-0.12,-0.15,0.53,0.8,0.79,-0.27
OSTC,0.07,0.16,0.04,-0.27,-0.23,-0.1,-0.26,-0.28,-0.28,0.13,-0.21,-0.17,0.07,0.16,-0.5,-0.12,-0.15,0,-0.07
OSTF1,-0.37,-0.46,-0.34,-0.2,-0.07,-0.2,-0.27,-0.5,-0.38,-0.43,-0.23,0.31,-0.53,-0.27,-0.24,-0.35,-0.56,-0.1,-0.04
OSTM1,-0.19,0.29,0.24,-0.01,0.03,0.05,-0.24,-0.4,-0.03,-0.36,-0.07,-0.19,0.32,0.23,-0.22,-0.24,0.13,0.2,0.07
OTUB1,-0.09,-0.11,0.02,-0.18,0.05,0.07,0.13,-0.18,0,0.13,-0.24,-0.08,-0.22,-0.1,0,0.1,-0.04,-0.07,-0.12
OTUD4,-0.36,-0.59,-0.22,-0.34,0.16,-0.24,-0.26,-0.27,-0.02,-0.07,0.16,0.04,-0.09,-0.56,-0.01,-0.34,-0.19,-0.3,0.29
OTUD5,NA,-0.61,0.18,0.29,-0.79,0.53,0.71,0.58,NA,NA,0.34,NA,0.45,-0.12,NA,0.27,-0.43,0.59,-0.19
OTUD6B,-0.19,0.14,-0.32,-0.21,-0.14,-0.3,-0.48,0.03,-0.3,-0.31,0.01,-0.25,0.05,-0.13,-0.29,-0.33,-0.11,-0.33,-0.27
OTUD7B,-0.07,-0.13,-0.47,-0.3,-0.3,-0.06,-0.13,-0.1,-0.11,-0.04,-0.35,0.2,-0.56,-0.09,0.16,-0.23,-0.04,0.02,0
OTULIN,0.02,-0.16,-0.05,-0.18,-0.4,0.14,-0.11,-0.28,-0.22,-0.22,-0.48,-0.64,-0.22,-0.21,-0.62,-0.28,0.16,-0.01,-0.6
OTULINL,-0.37,-0.49,-0.06,0.19,-0.13,-0.56,-0.36,-0.7,-0.4,-0.4,-0.48,0.34,-0.61,-0.33,0.32,0.21,-0.22,-0.46,0.32
OVCA2,0.12,0.47,0.18,-0.14,-0.09,-0.05,-0.1,0.2,0.3,-0.03,-0.1,-0.42,0.27,0.18,-0.34,0.07,0.01,0.03,-0.04
OXA1L,0.48,0.65,0.47,0.37,0.13,0.65,0.21,0.65,0.16,0.04,0.19,-0.6,0.42,0.26,0.21,0.49,0.81,0.73,-0.42
OXCT1,-0.07,-0.27,-0.41,-0.55,-0.19,-0.45,0.56,0.05,0.62,0.09,0.17,-0.62,0.18,0.29,0.79,0.27,-0.24,-0.26,-0.57
OXLD1,0.5,0.53,0.65,0.34,-0.61,0.56,0.33,0.64,0.49,0.15,0.19,-1.08,0.74,0.24,-0.14,0.46,-0.19,0.42,-1.1
OXNAD1,0.72,0.92,0.55,0.41,-0.22,0.76,0.48,0.81,1.04,0.26,-0.13,-0.87,0.54,0.67,-0.39,0.32,0.33,0.81,-0.97
OXR1,-0.13,-0.41,-0.34,-0.41,0,-0.44,0.1,-0.18,0.16,0,0.24,0.19,-0.17,-0.3,0.77,-0.23,-0.73,-0.52,0.06
OXSM,0.56,0.73,0.23,0.08,-0.15,0.41,0.2,0.54,0.55,0.29,0.06,-0.74,0.36,0.51,-0.06,0.26,0.21,0.65,-0.87
OXSR1,0.12,0.07,0.13,-0.09,-0.01,0.1,0.03,0.09,0.03,-0.09,-0.08,0.03,0.02,-0.01,-0.03,0.06,-0.06,0.19,0.09
P2RX4,-0.03,-0.1,-0.11,-0.1,-0.07,0.15,-0.1,0.08,-0.09,-0.15,-0.52,0.01,-0.05,0.14,-0.37,-0.07,-0.16,0.1,-0.57
P3H1,-0.68,-0.71,-0.63,-0.18,0.28,-0.81,-0.97,-0.89,-0.73,-0.69,-0.59,-0.28,-0.85,-0.69,-0.61,-0.82,-0.48,-0.77,0.03
P3H2,-0.45,-0.67,-0.43,-0.17,0.13,-0.49,0.66,-0.71,-0.46,-0.12,-0.42,-0.12,-0.49,-0.9,-0.43,-0.79,-0.7,-0.18,-0.61
P3H3,-0.58,-0.4,-0.31,0.03,2.2,-0.66,-0.06,-0.09,-0.21,-0.39,-0.33,0.64,-0.17,-0.28,0.3,-0.61,0.41,0.29,1.02
P3H4,-0.14,-0.68,-0.53,0.02,0.68,-0.58,-0.49,-0.18,-0.13,-0.08,-0.55,-0.22,-0.56,-0.33,0.11,0.01,-0.46,-0.59,0.85
P4HA1,-0.97,-1.18,-1.28,-1.08,-0.92,-1.04,-1.28,-1.55,-1.33,-1.33,-1.34,-1.32,-1.44,-1.33,-0.72,-1.25,-1.15,-1.12,-0.82
P4HA2,-1.11,-1.5,-1.24,-0.91,-0.67,-1.12,-1.41,-1.35,-1.28,-1.16,-1.11,-1.03,-1.12,-1.46,-0.9,-1.08,-0.98,-1.03,-0.81
P4HB,-0.39,-0.75,-0.6,-0.38,-0.28,-0.5,-0.77,-0.68,-0.65,-0.64,-0.63,-0.76,-0.6,-0.62,-0.85,-0.48,-0.44,-0.59,-0.76
P4HTM,0.1,0.16,0.06,-0.21,0.18,NA,NA,0.18,0.12,-0.1,-0.18,-0.06,-0.33,0.21,0.04,-0.13,0.58,NA,-0.4
PA2G4,-0.14,-0.2,-0.29,-0.09,-0.1,-0.07,-0.15,-0.18,-0.16,-0.16,-0.08,-0.08,-0.28,-0.12,-0.27,-0.12,-0.13,-0.11,-0.04
PAAF1,-0.05,0.11,-0.01,-0.15,0.16,-0.25,-0.1,-0.19,-0.19,0.09,0.01,-0.06,-0.05,0.04,-0.22,0.01,0.21,0.03,0.01
PABIR1,0.13,-0.05,-0.34,0.21,0.14,0.64,0.96,0.4,0.04,0.18,0,0.3,0.24,-0.12,0.31,0.52,0.17,0.93,-0.61
PABIR2,-0.53,0.03,-0.32,0.43,-0.17,-0.23,0.07,0.25,-0.38,-0.67,0.33,-0.25,-0.09,0.13,0.04,0.34,-0.28,-0.21,0.2
PABPC1,0.19,0.05,0.08,0.02,0.23,0.02,0.03,0.01,0.21,-0.06,0.29,0.19,0.22,-0.07,0.03,-0.03,0.01,0.11,0
PABPC4,0.08,0.14,-0.12,0.07,0.24,-0.08,-0.08,-0.13,0.02,-0.07,0.12,0.13,0.01,0.09,0.29,0.09,0.03,-0.02,0.08
PACS1,0.01,0.1,0.06,0.03,-0.01,-0.02,0.02,-0.09,0.02,-0.1,0,0.16,-0.1,-0.07,-0.04,-0.04,0.01,0.03,0.23
PACS2,-0.06,0.1,0.04,-0.08,-0.13,0.06,0.08,-0.12,0.03,0.04,-0.05,0.11,0,0.07,0.22,-0.02,0.14,0.15,0
PACSIN2,0.13,0.25,0.31,0.01,-0.23,0.09,0.32,0.29,0.46,0,0.33,-0.13,0.21,0.06,0.44,0.34,0.12,0.2,-0.17
PACSIN3,0.29,0.31,-0.22,0.15,-0.07,0.13,0.28,0.44,0.22,0.44,0.46,-0.21,0.33,0.28,0.41,0.39,0.04,0.38,0.04
PADI2,-0.08,-0.83,-0.75,-1.06,-0.25,0.17,0.54,-0.7,-0.32,-0.04,-0.02,-0.49,-0.34,0.05,1.34,0.34,-0.64,-0.14,-0.36
PADI3,NA,-0.27,NA,NA,NA,-0.08,-0.5,NA,NA,NA,NA,NA,NA,-0.32,NA,NA,NA,-0.61,-0.56
PADI4,-0.7,-0.36,NA,-0.03,0.24,-0.07,0.04,-0.16,-0.36,-0.38,NA,-0.56,NA,0.04,-0.5,-0.23,0.43,-0.34,0.71
PAF1,0,-0.07,-0.07,-0.09,0.04,-0.19,-0.15,-0.06,-0.05,-0.13,0,0.16,-0.1,-0.08,0.05,-0.07,-0.02,-0.13,0.07
PAFAH1B1,-0.08,-0.02,-0.03,-0.06,-0.09,-0.16,-0.04,-0.11,-0.12,0.02,-0.03,0.05,-0.11,-0.14,-0.02,-0.08,-0.15,-0.09,-0.01
PAFAH1B2,-0.1,-0.27,-0.28,-0.1,-0.02,-0.08,-0.06,-0.2,-0.13,-0.43,-0.3,-0.05,-0.28,-0.13,0.05,-0.12,-0.29,-0.17,-0.05
PAFAH1B3,-0.23,-0.18,-0.32,-0.23,0.15,-0.35,0.08,-0.32,-0.06,-0.16,0.03,0.27,-0.28,-0.23,0.21,0.03,-0.38,-0.46,0.14
PAFAH2,0.51,0.59,0.71,0.66,-0.01,0.75,0.58,0.66,0.41,0.63,0.31,-0.34,0.37,0.53,0.49,0.74,0.18,0.53,-0.31
PAGR1,-0.01,-0.08,-0.38,0.05,NA,-0.09,-0.06,-0.16,-0.3,-0.02,0.24,0.33,-0.11,-0.23,0.47,-0.12,NA,-0.24,0.07
PAH,1.16,1.75,1.28,0.95,-1.68,1.38,1.14,0.81,0.63,0.81,-0.08,-1.26,0.87,1.1,-0.94,0.95,1.34,1.39,-1.62
PAICS,-0.09,0.06,-0.2,-0.52,-0.19,-0.05,-0.12,-0.28,-0.21,-0.11,-0.38,-0.69,-0.04,-0.15,-0.26,-0.09,0.1,-0.05,-0.33
PAIP1,0.1,0.23,0.08,0.25,0.34,0.05,0.12,-0.1,0.04,0.14,0.21,0.23,0.22,0.23,0.08,0.1,0.1,-0.07,0.07
PAIP2,-0.23,-0.34,-0.21,-0.26,-0.2,-0.39,-0.27,-0.11,-0.01,-0.07,-0.18,0.08,-0.26,-0.19,-0.12,-0.29,-0.33,-0.43,0.18
PAK1,-0.1,-0.3,-0.29,-0.08,-0.03,-0.22,-0.09,-0.19,-0.09,-0.24,-0.14,0.1,-0.35,-0.24,-0.07,-0.15,-0.29,-0.06,-0.08
PAK1IP1,-0.39,0.09,-0.37,0.05,0.37,-0.13,-0.19,0.07,-0.43,-0.21,-0.25,0.14,-0.38,0.06,-0.05,0.12,-0.05,-0.3,0.45
