"","","","AP-SS2L","AP-94ED","AP-9D3B","AP-UG7J","AP-5MX6","AP-7KJ6","AP-KGMR","AP-RBLG","AP-YF3B","AP-QAHT","AP-HFEA","AP-G79N","AP-U8MP","AP-MAZ4","AP-ZLDH","AP-2XNK","AP-VLXG","AP-MJ52","AP-JKPX","AP-WTXJ","AP-HMFR","AP-SJVE","AP-AGZG","AP-5JDU","AP-FX68","AP-LWHD","AP-RA2G","AP-CT3G","AP-52RG","AP-B2SL","AP-EZEX","AP-TBFQ","AP-352Q","AP-DN2V","AP-YTZ8","AP-5L2V","AP-9UHJ","AP-E98M","AP-KX5B","AP-V6UJ","AP-KXUT","AP-DM87","AP-WDKZ","AP-N8FG","AP-AJWE","AP-DT88","AP-6EWG","AP-8MWD","AP-W455","AP-D9X4","AP-4HAU","AP-9PXS","AP-A5NG","AP-D35H","AP-HKYN","AP-XSR5","AP-AAFC","AP-JDN4","AP-XVLY","AP-NMZS","AP-EFHT","AP-4M7L","AP-8PRJ","AP-4LRG","AP-3336","AP-K24D","AP-27JZ","AP-XCJX","AP-QUHC","AP-QD4Q","AP-62LT","AP-E7CU","AP-HML4","AP-DMUM","AP-RQNH","AP-EPNF","AP-B9CH","AP-67ZV","AP-JK59","AP-9LNA","AP-F595","AP-JBET","AP-3FY5","AP-MGNN","AP-WPAM","AP-2E8Q","AP-7GDN"
"NP_001273510.1:s1371","PHRF1 s1371","PHRF1","NaN","NaN","NaN","NaN","NaN","0.42","NaN","NaN","NaN","-0.82","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.2","NaN","NaN","NaN","NaN","NaN","NaN","0.23","-0.47","NaN","NaN","0.13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.64","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.12","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001273560.1:s127","RBM26 s127","RBM26","0.25","NaN","NaN","NaN","0.32","-0.93","0.41","NaN","NaN","-0.16","NaN","NaN","NaN","NaN","-0.38","0.22","NaN","-0.57","0.79","0.1","NaN","NaN","0.24","NaN","NaN","NaN","NaN","0.86","NaN","-1.37","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.32","0.53","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.5","NaN","0.62","-1.33","NaN","NaN","NaN","NaN","NaN","-0.86","NaN","NaN","NaN","-0.54","-0.37","NaN","NaN","NaN","-0.3","NaN","NaN","NaN","1.01","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.18"
"NP_001273560.1:s523","RBM26 s523","RBM26","NaN","NaN","0.03","NaN","NaN","-0.56","NaN","NaN","NaN","-0.81","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.23","NaN","NaN","NaN","NaN","NaN","NaN","-0.46","-0.74","NaN","NaN","0.14","NaN","NaN","NaN","NaN","-0.22","NaN","NaN","-0.82","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.61","NaN","0.65","-0.21","0.15","NaN","NaN","NaN","NaN","NaN","NaN","-0.38","NaN","NaN","0.19","NaN","NaN","NaN","NaN","NaN","NaN","0.44","NaN","0.24","-1.03","-0.41","NaN","NaN","NaN","NaN"
"NP_001273768.1:s427","FARP1 s427","FARP1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.01","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.83","NaN","NaN","0.71","NaN","-0.19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.83","NaN","NaN","NaN","NaN","NaN","NaN","-0.2","NaN","NaN","NaN","NaN","0.72","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.33","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001273768.1:s433","FARP1 s433","FARP1","NaN","NaN","0.76","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.69","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.52","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.97","NaN","NaN","NaN","NaN","NaN","NaN","-0.19","-1.22","NaN","-0.76","NaN","NaN","NaN","0","0.46","NaN","NaN","NaN","-0.06","NaN","NaN","0.3","0.19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.62","NaN","NaN","NaN","NaN","NaN","-1.14","NaN","-0.19","-0.54","0.8","0.03","-0.9","NaN","NaN","NaN"
"NP_001273768.1:t24","FARP1 t24","FARP1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.82","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.44","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.06","NaN","NaN","NaN","NaN","NaN","0.89","0.75","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.54","NaN","0.46","NaN","NaN","NaN","-5.51","NaN","NaN","NaN"
"NP_001273960.1:t282","STOML2 t282","STOML2","NaN","NaN","0.17","-0.38","NaN","NaN","-0.41","NaN","NaN","NaN","-1.22","NaN","-0.62","NaN","NaN","-0.55","NaN","NaN","-0.54","NaN","0.27","-1.36","NaN","-0.02","-0.27","NaN","0.22","-0.56","-0.31","NaN","NaN","0.47","1.13","NaN","NaN","-0.17","NaN","NaN","0.06","0.05","NaN","NaN","-2.36","-1.01","-1.82","-0.13","0.27","NaN","-0.34","-1.13","NaN","NaN","-0.07","-0.85","-0.28","0.22","-0.43","-0.14","-0.92","NaN","0.14","-0.09","0.29","-0.4","-0.44","NaN","NaN","-1.47","NaN","NaN","0.11","1.08","NaN","0.27","NaN","NaN","-0.11","-0.54","NaN","0.38","-0.57","0.83","-0.52","1.84","NaN","1.38","-0.31"
"NP_001275582.1:s1498","CLTC s1498","CLTC","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","NaN","-0.59","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.56","NaN","NaN","NaN","NaN","NaN","NaN","0.04","-0.33","NaN","NaN","0.23","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.89","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.01","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001275582.1:t398","CLTC t398","CLTC","0.21","-0.8","0.73","-0.43","0.01","-0.64","0.45","NaN","0.04","-0.97","-0.68","-0.62","-0.4","0.47","-0.5","-0.3","-0.54","-0.24","-0.18","-0.12","0.03","-0.45","-0.08","0.8","0.4","0.02","-0.09","0.31","-0.67","1.46","NaN","NaN","NaN","-0.95","-0.21","-0.14","-0.11","-0.39","-0.52","-0.55","-0.19","-0.51","-0.42","-0.41","-0.49","0.15","-0.69","-0.37","-0.12","-0.11","0.59","0.84","-0.02","0.05","0.5","0.05","-0.07","-1.46","-0.31","0","-0.32","0.01","NaN","0.17","-0.36","-1.17","-0.15","-0.48","0.12","-0.45","-0.35","0.49","-0.32","NaN","-0.21","-0.97","0.12","0.73","0.25","-0.68","-0.13","0.09","-0.09","0.69","0.28","NaN","0.49"
"NP_001276051.1:s365","LIMCH1 s365","LIMCH1","NaN","-0.9","0.79","-0.36","NaN","-0.19","-4.25","-1.77","-1.31","-1.14","0.52","0.01","NaN","-3.88","NaN","1.12","-2.14","NaN","0.82","NaN","-1","NaN","NaN","-1.77","NaN","1.36","NaN","-0.21","0.31","-1.49","-1.99","-0.07","-1.76","-0.15","0.82","-0.8","-0.95","0.81","0.04","-2.58","0.65","0.59","NaN","-0.94","-4.39","-0.65","-1.17","-1.41","0.35","NaN","0.54","1.02","0.14","-0.16","NaN","0.03","1.2","-0.96","-1.72","2.15","-0.3","0.62","-0.55","0.47","1.02","NaN","-0.33","NaN","-1.34","NaN","-0.08","0.08","1","-1.25","NaN","1.24","NaN","-0.19","-0.54","0.66","-0.78","0.11","-0.08","-3.19","-1.01","-0.1","1.75"
"NP_001276051.1:s481","LIMCH1 s481","LIMCH1","-0.36","-1.06","0.48","-0.35","0.2","-0.42","NaN","NaN","-1.43","-1.35","0.57","-0.35","NaN","-2.32","-1.48","1.15","-1.52","-1.11","0.22","0.8","-1.06","NaN","0.36","-0.21","NaN","1.16","NaN","-0.3","0.24","-1.81","NaN","NaN","NaN","-0.86","0.53","-0.11","-1.09","0.23","0.06","NaN","0.44","0.29","NaN","-0.23","NaN","-0.27","-0.76","-1.13","0.25","NaN","0.64","1.21","0.37","-0.47","NaN","0.88","1.02","-1.55","-0.51","1.4","-0.56","0.7","NaN","0.27","0.49","0.04","-0.04","NaN","-1.43","-0.67","0.01","-0.61","0.92","NaN","-0.95","0.81","NaN","-0.16","0.85","0.4","-0.55","-0.06","-0.12","-3.41","-0.41","NaN","1.4"
"NP_001276051.1:s706","LIMCH1 s706","LIMCH1","NaN","NaN","0.43","NaN","NaN","NaN","-2.01","-0.93","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.62","NaN","NaN","0.43","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.59","NaN","NaN","-1.41","0.23","-1.29","NaN","NaN","NaN","NaN","NaN","NaN","-1.4","NaN","NaN","NaN","NaN","NaN","-2.03","NaN","NaN","-0.16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.21","-1.55","0.12","NaN","-0.68","0.18","-0.31","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.56","-1.35","NaN","-0.87","NaN","NaN","NaN","NaN","NaN","NaN","-0.71","-0.3","-0.36","NaN","NaN","-0.04","0.74"
"NP_001276936.1:s233","BIN2 s233","BIN2","NaN","-1.01","-0.76","0.69","NaN","-0.14","-1.03","-0.48","NaN","-1.04","0.38","0.39","NaN","-1.4","NaN","-1.36","-1.8","NaN","-0.16","NaN","0.37","NaN","NaN","-0.16","NaN","NaN","NaN","-1.78","0.07","-1.87","-7.02","0.61","-1.31","0.34","0.67","-0.72","-1.53","-1.58","0.49","0.06","1.06","NaN","NaN","0.47","-1.3","-0.22","0.37","NaN","0.28","NaN","NaN","NaN","0.55","0.26","NaN","-1.57","0.12","0.91","-1.79","0.8","0.84","-1","-0.36","1.23","0.2","NaN","NaN","NaN","-0.02","NaN","-0.38","0.57","-0.19","-1.03","NaN","NaN","NaN","-0.95","-0.55","0.35","-0.06","0.48","0.44","-1.2","-1.3","-0.4","0.02"
"NP_001277192.1:t1434","DOCK10 t1434","DOCK10","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.54","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.89","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.33","NaN","NaN","NaN","NaN","NaN","-0.46","NaN","NaN","-0.12","-0.88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.42","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.97","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001277236.1:s295","CTNNA1 s295","CTNNA1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.09","NaN","NaN","0.63","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.91","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.38","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.85","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.66"
"NP_001277236.1:s641","CTNNA1 s641","CTNNA1","NaN","NaN","0.22","NaN","NaN","NaN","NaN","NaN","-0.73","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.31","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.12","NaN","NaN","NaN","-0.29","NaN","-1.47","-0.22","NaN","0.19","-0.62","NaN","NaN","NaN","NaN","NaN","-1.23","NaN","NaN","-0.59","-0.16","NaN","NaN","NaN","NaN","0.32","NaN","NaN","NaN","NaN","0.46","NaN","NaN","NaN","-0.26","NaN","NaN","NaN","NaN","0.05","0.38","0.08","NaN","NaN","NaN","NaN"
"NP_001278805.1:s2181","TACC2 s2181","TACC2","NaN","NaN","NaN","NaN","NaN","-0.36","NaN","NaN","NaN","-1.86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2.17","NaN","NaN","NaN","NaN","NaN","NaN","0.26","0.2","NaN","NaN","-0.86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.59","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.04","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.54","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001278805.1:s2272","TACC2 s2272","TACC2","NaN","NaN","NaN","NaN","NaN","-1.54","-0.05","NaN","NaN","-1.46","NaN","NaN","NaN","NaN","NaN","1.2","NaN","NaN","0.25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.05","NaN","1.72","NaN","NaN","NaN","NaN","NaN","NaN","0.32","-0.32","NaN","-1.82","-1.16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.27","NaN","-0.56","-1.27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.6","NaN","-1.45","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.51","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.67"
"NP_001278805.1:s962","TACC2 s962","TACC2","NaN","NaN","NaN","1","NaN","NaN","-0.43","NaN","NaN","NaN","-0.87","NaN","NaN","NaN","NaN","1.23","NaN","NaN","0.18","NaN","NaN","NaN","NaN","0.26","NaN","NaN","NaN","-0.12","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2.54","NaN","NaN","NaN","-0.92","NaN","NaN","NaN","-0.53","-1.76","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2.29","0.19","NaN","0.5","NaN","NaN","NaN","NaN","-1.13","-0.5","NaN","NaN","NaN","NaN","NaN","-0.6","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.68"
"NP_001278805.1:t2580","TACC2 t2580","TACC2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.82","NaN","NaN","0.09","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2.35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.1","NaN","0.07","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.32","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.3"
"NP_001278893.1:s1141","AFDN s1141","AFDN","NaN","-0.91","0.27","NaN","NaN","0.69","NaN","NaN","NaN","-0.41","NaN","0.69","NaN","-1.18","NaN","NaN","0.15","NaN","NaN","NaN","-1.53","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.37","0.22","NaN","NaN","NaN","-0.14","0.49","NaN","-0.66","0.48","0.21","NaN","0.28","NaN","NaN","NaN","NaN","0.21","0.2","NaN","-0.03","NaN","NaN","NaN","0.33","-0.24","NaN","NaN","NaN","-0.74","NaN","0.43","0.57","0.07","NaN","NaN","NaN","NaN","NaN","NaN","0.9","NaN","NaN","0.72","0.14","NaN","NaN","NaN","NaN","-0.16","-0.24","0.53","-1.09","1.15","-0.64","0.95","0.56","NaN","NaN"
"NP_001278893.1:s516","AFDN s516","AFDN","NaN","NaN","NaN","-0.64","NaN","NaN","NaN","NaN","NaN","NaN","-0.9","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.42","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.51","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.79","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.92","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001278893.1:t1191","AFDN t1191","AFDN","NaN","NaN","NaN","-0.98","NaN","NaN","NaN","NaN","NaN","NaN","-1.68","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.46","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.06","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.83","-2.7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.05","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","-0.66","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001278970.1:s238","HCLS1 s238","HCLS1","NaN","0.71","NaN","-2.01","NaN","0.05","0.77","NaN","NaN","-0.08","-0.25","0.18","NaN","0.8","NaN","0.25","0.13","NaN","0.61","NaN","-0.58","NaN","NaN","-1.13","NaN","NaN","NaN","-0.26","-0.81","-0.01","NaN","NaN","NaN","1.53","0.51","-1.24","0.22","-0.22","-1.29","0.29","-0.23","NaN","NaN","-2.03","-1.2","NaN","-0.22","NaN","NaN","NaN","NaN","NaN","0.51","-0.82","NaN","-1.51","1.19","NaN","0.75","-0.14","NaN","NaN","NaN","-0.36","-0.87","NaN","NaN","NaN","-0.99","NaN","0.62","NaN","0","NaN","NaN","NaN","NaN","-0.02","0.29","-1.45","NaN","NaN","NaN","1.21","-0.03","NaN","0.6"
"NP_001278970.1:t271","HCLS1 t271","HCLS1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.7","NaN","NaN","NaN","NaN","NaN","0.47","-0.32","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","0.88","NaN","NaN","NaN","0.81","NaN","NaN","NaN"
"NP_001280134.1:s445","MVP s445","MVP","-0.42","1.09","-0.4","-1.67","-0.33","-0.95","-0.94","0.3","0.3","-1.89","-0.2","0.99","-1.41","0.97","-0.5","-2.49","0.01","-1.13","-0.73","0.57","-0.32","-0.56","1.32","-0.26","0.78","0.16","0.45","-0.99","1.18","-0.57","-0.58","0.78","-1.55","0.22","1.04","-0.45","0.23","-1.48","-1.91","-2.59","-0.01","0.6","-1.42","-2.18","-1.74","-0.99","-0.98","0.56","1.09","0.37","-1.03","-0.77","-0.28","-0.22","-0.28","-0.17","0.4","-1.6","-0.7","-0.86","-0.46","2.13","-0.78","0.97","2.16","-0.13","0.23","-2.21","-0.66","-0.86","-1.54","0.13","0.05","-0.54","-1.5","-0.5","2.72","-0.11","0.03","-1.97","-2.04","-2.58","-0.48","0.02","0.91","-1.45","-2.11"
"NP_001281074.1:s366","SSB s366","SSB","NaN","NaN","-0.39","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.21","NaN","NaN","-1.05","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.3","NaN","NaN","0.26","-0.66","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.02","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.42","-0.43","-0.03","NaN","NaN","NaN","NaN"
"NP_001281269.1:s866","ZC3H18 s866","ZC3H18","NaN","NaN","-0.92","NaN","NaN","-1.14","NaN","NaN","NaN","-0.58","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.84","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.15","0.27","NaN","NaN","NaN","NaN","NaN","NaN","0.02","-1.43","-0.38","NaN","0.09","NaN","NaN","NaN","NaN","-0.11","-0.64","NaN","-0.16","NaN","NaN","NaN","0.39","-0.92","NaN","NaN","NaN","-0.31","NaN","0.65","-1.38","0.07","NaN","NaN","NaN","NaN","NaN","NaN","-0.52","NaN","NaN","0.76","NaN","NaN","NaN","NaN","NaN","-0.34","0","-0.64","-0.42","-1.28","0.2","-0.44","NaN","NaN","NaN"
"NP_001281269.1:s892","ZC3H18 s892","ZC3H18","NaN","0.08","NaN","-1.18","NaN","-1.35","0.29","NaN","NaN","-0.76","-0.21","-0.87","0.32","0.17","NaN","0.15","-0.16","NaN","-0.74","NaN","-0.2","-1.21","NaN","-0.21","0.4","NaN","0.48","-0.88","-0.88","0.05","NaN","NaN","NaN","-0.14","0.06","0.02","-0.09","-1.5","-0.41","-0.44","0.02","NaN","-0.95","-1.6","-1.34","NaN","-0.93","NaN","NaN","-0.21","NaN","NaN","-0.16","-1.33","0.44","0.66","-0.16","NaN","-1.17","0.49","NaN","NaN","NaN","-0.04","-0.96","NaN","NaN","-0.87","-0.32","NaN","-1.34","NaN","0.14","NaN","NaN","NaN","0.81","-1.22","0.06","-1.05","NaN","NaN","NaN","0.19","-0.02","NaN","0.37"
"NP_001281269.1:s917","ZC3H18 s917","ZC3H18","NaN","NaN","0.22","-1.15","NaN","-1.8","0.77","NaN","NaN","-0.63","0","NaN","NaN","NaN","NaN","0.07","NaN","NaN","-0.37","NaN","-1.54","NaN","NaN","0.13","NaN","NaN","NaN","-0.78","-1.54","-0.41","NaN","NaN","NaN","NaN","NaN","-0.08","-0.07","-1.57","-1.59","-0.05","0.25","NaN","NaN","-1.45","-1.25","-0.22","-2.31","NaN","-0.74","NaN","NaN","NaN","-1.04","-1.98","NaN","1.02","-0.06","0","-0.81","-0.15","0.14","0.38","NaN","0.4","-0.77","NaN","NaN","NaN","-0.04","NaN","-1.28","0.27","NaN","NaN","NaN","NaN","NaN","-2.16","0.07","-2.57","0.11","0.07","-0.44","-1.01","NaN","NaN","0.32"
"NP_001284505.1:s137","PEA15 s137","PEA15","NaN","-0.73","0.7","-0.16","NaN","0.13","-1.57","-1.13","0.03","-0.54","-0.68","-0.9","NaN","-0.66","NaN","0.81","0.27","NaN","-0.79","NaN","-0.61","NaN","NaN","-0.39","NaN","0.24","NaN","-0.52","-0.79","0.17","-3.24","0.86","0.3","0.16","0.53","-0.62","0","-1.51","0.3","-0.56","0.95","0.57","NaN","-0.25","-1.79","-0.44","0.19","-0.46","-0.3","NaN","0.78","-0.15","0.6","0.02","NaN","-0.15","-0.26","-0.29","-1.77","0.63","1.19","-1.42","-0.1","0.09","-0.35","NaN","0.54","NaN","0.19","NaN","-0.93","-0.2","-0.42","-0.47","NaN","0.42","NaN","-0.22","-1.21","-0.65","-0.49","0.79","-0.29","0.4","-0.78","-0.95","0.11"
"NP_001284603.1:s1073","RPRD2 s1073","RPRD2","NaN","0.17","0.66","NaN","NaN","-0.47","-2.45","NaN","-0.05","-0.8","NaN","-0.08","NaN","0.83","NaN","-0.09","0.88","NaN","-0.44","NaN","NaN","NaN","NaN","NaN","NaN","0.99","NaN","-0.95","NaN","-1.37","NaN","NaN","NaN","1.36","0.29","NaN","-0.9","0","NaN","-0.66","0.15","0.01","NaN","NaN","NaN","-0.26","NaN","-0.5","0.16","NaN","-0.34","0.42","NaN","NaN","NaN","NaN","-1.07","-0.51","-2.03","0.19","-0.47","-0.08","NaN","NaN","NaN","NaN","NaN","NaN","-0.38","NaN","-1.9","0.3","0.6","NaN","NaN","-0.41","NaN","NaN","-0.86","NaN","-0.12","0.27","-0.26","NaN","0.75","NaN","-0.5"
"NP_001284603.1:s348","RPRD2 s348","RPRD2","NaN","NaN","-0.41","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.92","NaN","NaN","0.94","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.17","NaN","NaN","-0.29","-0.75","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.09","0.16","0.66","NaN","NaN","NaN","NaN"
